X,variable,L1,value
Azorina vidalii,Sepsis.thoracica,ilha_das_flores_valerie,1
Crithmum maritimum,Sepsis.thoracica,ilha_das_flores_valerie,1
Beta vulgaris,Sepsis.thoracica,ilha_das_flores_valerie,1
Silene vulgaris,Sepsis.thoracica,ilha_das_flores_valerie,1
Azorina vidalii,Musca.domestica,ilha_das_flores_valerie,1
Crithmum maritimum,Musca.domestica,ilha_das_flores_valerie,1
Daucus carota,Musca.domestica,ilha_das_flores_valerie,1
Chamomilla suaveolens,Musca.domestica,ilha_das_flores_valerie,1
Crithmum maritimum,Lucilia.sericata,ilha_das_flores_valerie,1
Daucus carota,Lucilia.sericata,ilha_das_flores_valerie,1
Azorina vidalii,Lasius.niger,ilha_das_flores_valerie,1
Azorina vidalii,Halictus.sp.,ilha_das_flores_valerie,1
Solidago sempervivens,Halictus.sp.,ilha_das_flores_valerie,1
Daucus carota,Halictus.sp.,ilha_das_flores_valerie,1
Silene vulgaris,Halictus.sp.,ilha_das_flores_valerie,1
Chamomilla suaveolens,Halictus.sp.,ilha_das_flores_valerie,1
Reseda luteola,Halictus.sp.,ilha_das_flores_valerie,1
Crithmum maritimum,Eristalix.tenax,ilha_das_flores_valerie,1
Azorina vidalii,Colias.crocea,ilha_das_flores_valerie,1
Lotus corniculatus,Colias.crocea,ilha_das_flores_valerie,1
Freesia refracta,Colias.crocea,ilha_das_flores_valerie,1
Azorina vidalii,Calliphora.vemitoria,ilha_das_flores_valerie,1
Azorina vidalii,Bombus.ruderatus,ilha_das_flores_valerie,1
Lotus corniculatus,Bombus.ruderatus,ilha_das_flores_valerie,1
Freesia refracta,Bombus.ruderatus,ilha_das_flores_valerie,1
Azorina vidalii,Apis.mellifera,ilha_das_flores_valerie,1
Lotus corniculatus,Apis.mellifera,ilha_das_flores_valerie,1
Reseda luteola,Apis.mellifera,ilha_das_flores_valerie,1
Chamomilla suaveolens,Anothomyia.pluvialis,ilha_das_flores_valerie,1
Solidago sempervivens,Agrotis.ipsilon,ilha_das_flores_valerie,1
