IGenus,Family,Order
Thygather,Apidae,Hymenoptera
Araneidae,Araneidae,Araneae
Chrisaeglia,Arctiidae,Lepidoptera
Arge,Argidae,Hymenoptera
Argidae,Argidae,Hymenoptera
Hylotoma,Argidae,Hymenoptera
Sterictophora,Argidae,Hymenoptera
Arctoseius,Ascidae,Mesostigmata
Asilidae,Asilidae,Diptera
Asilus,Asilidae,Diptera
Astochia,Asilidae,Diptera
Choerades,Asilidae,Diptera
cryptopogon,Asilidae,Diptera
Dasyllis,Asilidae,Diptera
Dioctria,Asilidae,Diptera
Dysmachus,Asilidae,Diptera
Lassiopogon,Asilidae,Diptera
Leptogaster,Asilidae,Diptera
Neaitamus,Asilidae,Diptera
Ommatius,Asilidae,Diptera
Philonicus,Asilidae,Diptera
Asteia,Asteiidae,Diptera
Asteiidae,Asteiidae,Diptera
Apoderus,Attelabidae,Coleoptera
Byctiscus,Attelabidae,Coleoptera
Eugnamptus,Attelabidae,Coleoptera
Involvutus,Attelabidae,Coleoptera
Rhynchites,Attelabidae,Coleoptera
Galagete,Autostichidae,Lepidoptera
Metacanthus,Berytidae,Hemiptera
Goniozus,Bethylidae,Hymenoptera
Holepyris,Bethylidae,Hymenoptera
Bibio,Bibionidae,Diptera
Bibionidae,Bibionidae,Diptera
Dilophus,Bibionidae,Diptera
Philia,Bibionidae,Diptera
Plecia,Bibionidae,Diptera
Biphyllis,Biphyllidae,Coleoptera
Aldrichia,Bombyliidae,Diptera
Amictus,Bombyliidae,Diptera
Anastoechus,Bombyliidae,Diptera
Anthrax,Bombyliidae,Diptera
Bombyliidae,Bombyliidae,Diptera
Bombylius,Bombyliidae,Diptera
Bombylus,Bombyliidae,Diptera
Cephenius,Bombyliidae,Diptera
Chrysanthrax,Bombyliidae,Diptera
Comptosia,Bombyliidae,Diptera
Conophorus,Bombyliidae,Diptera
Cytherea,Bombyliidae,Diptera
Dischistus,Bombyliidae,Diptera
Eclimus,Bombyliidae,Diptera
Exhyalanthrax,Bombyliidae,Diptera
Exoprosopa,Bombyliidae,Diptera
Geron,Bombyliidae,Diptera
Hemipenthes,Bombyliidae,Diptera
Hyperalonia,Bombyliidae,Diptera
Lepidanthrax,Bombyliidae,Diptera
Lomatia,Bombyliidae,Diptera
Lyophlaeba,Bombyliidae,Diptera
Mythenteles,Bombyliidae,Diptera
Oligodranes,Bombyliidae,Diptera
Petrorossia,Bombyliidae,Diptera
Phthiria,Bombyliidae,Diptera
Poecilanthrax,Bombyliidae,Diptera
Saparnopolius,Bombyliidae,Diptera
Systoechus,Bombyliidae,Diptera
systoechus,Bombyliidae,Diptera
Systropus,Bombyliidae,Diptera
Thlipsogaster,Bombyliidae,Diptera
Thyridanthrax,Bombyliidae,Diptera
Toxophora,Bombyliidae,Diptera
Truphloechus,Bombyliidae,Diptera
Usia,Bombyliidae,Diptera
Vibrissomyia,Bombyliidae,Diptera
Villa,Bombyliidae,Diptera
villa,Bombyliidae,Diptera
Bryodemina,Bombyliidae,Diptera
Parasystoechus,Bombyliidae,Diptera
Poecilognathus,Bombyliidae,Diptera
Tmemophlebia,Bombyliidae,Diptera
Rhopalomerus,Brachyceridae,Coleoptera
Anomalempis,Brachystomatidae,Diptera
Anornalempis,Brachystomatidae,Diptera
Agathidinae,Braconidae,Hymenoptera
Agathis,Braconidae,Hymenoptera
Alysiinae,Braconidae,Hymenoptera
Apanteles,Braconidae,Hymenoptera
Aphidius,Braconidae,Hymenoptera
Bassus,Braconidae,Hymenoptera
Bracon,Braconidae,Hymenoptera
Braconidae,Braconidae,Hymenoptera
Cheloninae,Braconidae,Hymenoptera
Chelonus,Braconidae,Hymenoptera
Cotesia,Braconidae,Hymenoptera
Dacnusa,Braconidae,Hymenoptera
Euphorus,Braconidae,Hymenoptera
Habrobracon,Braconidae,Hymenoptera
Iphiaulax,Braconidae,Hymenoptera
Macrodyctium,Braconidae,Hymenoptera
Microbracon,Braconidae,Hymenoptera
Microdus,Braconidae,Hymenoptera
Microgaster,Braconidae,Hymenoptera
Microplitis,Braconidae,Hymenoptera
Odontobracon,Braconidae,Hymenoptera
Opius,Braconidae,Hymenoptera
Orgilus,Braconidae,Hymenoptera
Toxoneuron,Braconidae,Hymenoptera
Urosigalphus,Braconidae,Hymenoptera
Vipio,Braconidae,Hymenoptera
Apion,Brentidae,Coleoptera
Acmaeodera,Buprestidae,Coleoptera
Acmaeoderella,Buprestidae,Coleoptera
Agrilus,Buprestidae,Coleoptera
Anthaxia,Buprestidae,Coleoptera
Chrysodema,Buprestidae,Coleoptera
Coraebus,Buprestidae,Coleoptera
Endelus,Buprestidae,Coleoptera
Habroloma,Buprestidae,Coleoptera
Trachys,Buprestidae,Coleoptera
Tetragonoschema,Buprestidae,Coleoptera
Byturus,Byturidae,Coleoptera
Xerasia,Byturidae,Coleoptera
Caecilius,Caeciliusidae,Psocoptera
Pteroelecta,Callidulidae,Lepidoptera
Aldrichina,Calliphoridae,Diptera
Bellardia,Calliphoridae,Diptera
Boreellus,Calliphoridae,Diptera
Calliphora,Calliphoridae,Diptera
Calliphoridae,Calliphoridae,Diptera
Chlorobrachycoma,Calliphoridae,Diptera
Chrysomya,Calliphoridae,Diptera
Compsomyia,Calliphoridae,Diptera
Compsomyiops,Calliphoridae,Diptera
Cynomya,Calliphoridae,Diptera
Cynomyia,Calliphoridae,Diptera
Dexopollenia,Calliphoridae,Diptera
Eggisops,Calliphoridae,Diptera
Eurychaeta,Calliphoridae,Diptera
Hemipyrellia,Calliphoridae,Diptera
Lucilia,Calliphoridae,Diptera
Lucillia,Calliphoridae,Diptera
Melinda,Calliphoridae,Diptera
Onesia,Calliphoridae,Diptera
Phaenica,Calliphoridae,Diptera
Phaenicia,Calliphoridae,Diptera
Phormia,Calliphoridae,Diptera
phormia,Calliphoridae,Diptera
Pollenia,Calliphoridae,Diptera
Protocalliphora,Calliphoridae,Diptera
Protophormia,Calliphoridae,Diptera
Stratiomyia,Calliphoridae,Diptera
Xanthothyxus,Calliphoridae,Diptera
Cochliomyia,Calliphoridae,Diptera
Chloroprocta,Calliphoridae,Diptera
Hemilucilia,Calliphoridae,Diptera
Canaecidae,Canacidae,Diptera
Tethina,Canacidae,Diptera
Tethinidae,Canacidae,Diptera
Asilis,Cantharidae,Coleoptera
Athemellus,Cantharidae,Coleoptera
Athemus,Cantharidae,Coleoptera
Cantharidae,Cantharidae,Coleoptera
Cantharis,Cantharidae,Coleoptera
Chauliognathus,Cantharidae,Coleoptera
Ditemnus,Cantharidae,Coleoptera
Dysmorphocellus,Cantharidae,Coleoptera
Hyponotum,Cantharidae,Coleoptera
Kandyosilis,Cantharidae,Coleoptera
Malthinellus,Cantharidae,Coleoptera
Malthinus,Cantharidae,Coleoptera
Malthodes,Cantharidae,Coleoptera
Micadocantharis,Cantharidae,Coleoptera
Mikadocantharis,Cantharidae,Coleoptera
Padabrus,Cantharidae,Coleoptera
Podabrus,Cantharidae,Coleoptera
Prothemus,Cantharidae,Coleoptera
Rhagonycha,Cantharidae,Coleoptera
Rhynconycha,Cantharidae,Coleoptera
Themus,Cantharidae,Coleoptera
Tremus,Cantharidae,Coleoptera
Trypherus,Cantharidae,Coleoptera
Maronius,Cantharidae,Coleoptera
Callida,Carabidae,Coleoptera
Colpodes,Carabidae,Coleoptera
Dicranoncus,Carabidae,Coleoptera
Dromius,Carabidae,Coleoptera
Harpalus,Carabidae,Coleoptera
Jujiroa,Carabidae,Coleoptera
Lebia,Carabidae,Coleoptera
Lebidia,Carabidae,Coleoptera
Pristosia,Carabidae,Coleoptera
Stenolophus,Carabidae,Coleoptera
Carnidae,Carnidae,Diptera
Nesiope,Carsidaridae,Hemiptera
Cecidomyiidae,Cecidomyiidae,Diptera
Cecydomyiidae,Cecidomyiidae,Diptera
Dasineura,Cecidomyiidae,Diptera
Oligotropus,Cecidomyiidae,Diptera
Cephaloon,Cephaloidae,Coleoptera
Calameuta,Cephidae,Hymenoptera
Cephidae,Cephidae,Hymenoptera
Cephus,Cephidae,Hymenoptera
Acmaeops,Cerambycidae,Coleoptera
Acmaeopsoides,Cerambycidae,Coleoptera
Anaglyptus,Cerambycidae,Coleoptera
Anastrangalis,Cerambycidae,Coleoptera
Anoploderomorpha,Cerambycidae,Coleoptera
Asemum,Cerambycidae,Coleoptera
Batyle,Cerambycidae,Coleoptera
Bhaphuma,Cerambycidae,Coleoptera
Callideriphus,Cerambycidae,Coleoptera
Callimoxys,Cerambycidae,Coleoptera
Carneades,Cerambycidae,Coleoptera
Cerambycidae,Cerambycidae,Coleoptera
Cerembycidae,Cerambycidae,Coleoptera
Chenoderus,Cerambycidae,Coleoptera
Chloridolum,Cerambycidae,Coleoptera
Chlorophorus,Cerambycidae,Coleoptera
Clytus,Cerambycidae,Coleoptera
Corennys,Cerambycidae,Coleoptera
Corymbia,Cerambycidae,Coleoptera
Corymia,Cerambycidae,Coleoptera
Deilus,Cerambycidae,Coleoptera
Demonax,Cerambycidae,Coleoptera
Dere,Cerambycidae,Coleoptera
Dinoptera,Cerambycidae,Coleoptera
Epania,Cerambycidae,Coleoptera
Euburia,Cerambycidae,Coleoptera
Euderces,Cerambycidae,Coleoptera
Euseboides,Cerambycidae,Coleoptera
Evodinus,Cerambycidae,Coleoptera
Formosopyrrhona,Cerambycidae,Coleoptera
Glenea,Cerambycidae,Coleoptera
Grammographus,Cerambycidae,Coleoptera
Grammoptera,Cerambycidae,Coleoptera
Grammoptra,Cerambycidae,Coleoptera
Idiostrangaiia,Cerambycidae,Coleoptera
Idiostrangalia,Cerambycidae,Coleoptera
Japanostrangalia,Cerambycidae,Coleoptera
Judolia,Cerambycidae,Coleoptera
Languriomorpha,Cerambycidae,Coleoptera
Lemula,Cerambycidae,Coleoptera
Leptura,Cerambycidae,Coleoptera
Mauritiborium,Cerambycidae,Coleoptera
Molorchus,Cerambycidae,Coleoptera
Nakanea,Cerambycidae,Coleoptera
Nustera,Cerambycidae,Coleoptera
Pachytodes,Cerambycidae,Coleoptera
Parastrangalis,Cerambycidae,Coleoptera
Parastrangatis,Cerambycidae,Coleoptera
Pidonia,Cerambycidae,Coleoptera
Pseudalosterna,Cerambycidae,Coleoptera
Pseudaosterna,Cerambycidae,Coleoptera
Pseudiphra,Cerambycidae,Coleoptera
Pyrrhona,Cerambycidae,Coleoptera
Schwarzerium,Cerambycidae,Coleoptera
Stenocorus,Cerambycidae,Coleoptera
Stenodryas,Cerambycidae,Coleoptera
Stenopterus,Cerambycidae,Coleoptera
Strangalia,Cerambycidae,Coleoptera
Strangalomorpha,Cerambycidae,Coleoptera
Tetraopes,Cerambycidae,Coleoptera
Trachysida,Cerambycidae,Coleoptera
Typocerus,Cerambycidae,Coleoptera
Zorion,Cerambycidae,Coleoptera
Ceratogoponidae,Ceratogoponidae,Diptera
Brachypogon,Ceratopogonidae,Diptera
Ceratopogon,Ceratopogonidae,Diptera
Culicoides,Ceratopogonidae,Diptera
Dasyhelea,Ceratopogonidae,Diptera
Forcipomyia,Ceratopogonidae,Diptera
Euscartopsis,Cercopidae,Hemiptera
Charitovalgus,Cetoniidae,Coleoptera
Palleira,Cetoniidae,Coleoptera
Paragymnetis,Cetoniidae,Coleoptera
Brachymeria,Chalcididae,Hymenoptera
Calcidoidae,Chalcididae,Hymenoptera
Chalcidae,Chalcididae,Hymenoptera
Chalcis,Chalcididae,Hymenoptera
Haltichella,Chalcididae,Hymenoptera
Proconura,Chalcididae,Hymenoptera
Smicra,Chalcididae,Hymenoptera
Conura,Chalcididae,Hymenoptera
Chamaemyiidae,Chamaemyiidae,Diptera
Leucopis,Chamaemyiidae,Diptera
Ablabesmyian,Chironomidae,Diptera
Acamptocladius,Chironomidae,Diptera
Chironomidae,Chironomidae,Diptera
Chironomus,Chironomidae,Diptera
Corynoneura,Chironomidae,Diptera
Cricotopus,Chironomidae,Diptera
Einfieldia,Chironomidae,Diptera
Eukiefferiella,Chironomidae,Diptera
Heterotrissocladius,Chironomidae,Diptera
Limnophyes,Chironomidae,Diptera
Metriocnemus,Chironomidae,Diptera
Micropsectra,Chironomidae,Diptera
Microspectra,Chironomidae,Diptera
Oliveridia,Chironomidae,Diptera
Orthocladiinae,Chironomidae,Diptera
Orthocladius,Chironomidae,Diptera
Orthocladus,Chironomidae,Diptera
Paraphaenocladius,Chironomidae,Diptera
Procladius,Chironomidae,Diptera
Prosmittia,Chironomidae,Diptera
Psectrocladius,Chironomidae,Diptera
Pseudodiamesa,Chironomidae,Diptera
Pseudosmittia,Chironomidae,Diptera
Rheocricotopus,Chironomidae,Diptera
Smittia,Chironomidae,Diptera
Tanytarsus,Chironomidae,Diptera
Chloromerus,Chloropidae,Diptera
Chloropidae,Chloropidae,Diptera
Chloropinae,Chloropidae,Diptera
Chlorops,Chloropidae,Diptera
Conioscinella,Chloropidae,Diptera
Elachiptera,Chloropidae,Diptera
Hippelates,Chloropidae,Diptera
Liohippelates,Chloropidae,Diptera
Meromyza,Chloropidae,Diptera
Olcella,Chloropidae,Diptera
Oscinella,Chloropidae,Diptera
Oscinimorpha,Chloropidae,Diptera
Oscinis,Chloropidae,Diptera
Siphonella,Chloropidae,Diptera
Siphunculina,Chloropidae,Diptera
Thaumatomyia,Chloropidae,Diptera
Tricimba,Chloropidae,Diptera
Tortyra,Choreutidae,Lepidoptera
Ceratosoma,Chromodorididae,Nudibranchia
Chrysis,Chrysididae,Hymenoptera
chrysis,Chrysididae,Hymenoptera
Elampus,Chrysididae,Hymenoptera
Gonochrysis,Chrysididae,Hymenoptera
Hedychrum,Chrysididae,Hymenoptera
Holopyga,Chrysididae,Hymenoptera
Monochrysis,Chrysididae,Hymenoptera
Notozus,Chrysididae,Hymenoptera
Omalus,Chrysididae,Hymenoptera
Pseudospinolia,Chrysididae,Hymenoptera
Tetrachrysis,Chrysididae ,Hymenoptera
Acanthoscelides,Chrysomelidae,Coleoptera
Adoxia,Chrysomelidae,Coleoptera
Agelasa,Chrysomelidae,Coleoptera
Agelastica,Chrysomelidae,Coleoptera
Amblycerus,Chrysomelidae,Coleoptera
Angelasa,Chrysomelidae,Coleoptera
Aphothona,Chrysomelidae,Coleoptera
Aphthona,Chrysomelidae,Coleoptera
Aphtona,Chrysomelidae,Coleoptera
Aulacophora,Chrysomelidae,Coleoptera
Babia,Chrysomelidae,Coleoptera
Basilepta,Chrysomelidae,Coleoptera
Bruchidius,Chrysomelidae,Coleoptera
Bruchus,Chrysomelidae,Coleoptera
Callosobruchus,Chrysomelidae,Coleoptera
Calomicrus,Chrysomelidae,Coleoptera
Cassida,Chrysomelidae,Coleoptera
Ceratoma,Chrysomelidae,Coleoptera
Chaetocnema,Chrysomelidae,Coleoptera
Chlamisus,Chrysomelidae,Coleoptera
Chlamysus,Chrysomelidae,Coleoptera
Chrysomela,Chrysomelidae,Coleoptera
Chrysomelidae,Chrysomelidae,Coleoptera
Clamirius,Chrysomelidae,Coleoptera
Coptocephala,Chrysomelidae,Coleoptera
Criptocephalus,Chrysomelidae,Coleoptera
Cryptocephalinae,Chrysomelidae,Coleoptera
Cryptocephalus,Chrysomelidae,Coleoptera
Demotina,Chrysomelidae,Coleoptera
Diabrotica,Chrysomelidae,Coleoptera
Disonycha,Chrysomelidae,Coleoptera
Docema,Chrysomelidae,Coleoptera
Donacia,Chrysomelidae,Coleoptera
Eumolpinae,Chrysomelidae,Coleoptera
Exosoma,Chrysomelidae,Coleoptera
Galerucella,Chrysomelidae,Coleoptera
Gastroidea,Chrysomelidae,Coleoptera
Glyptina,Chrysomelidae,Coleoptera
Haltica,Chrysomelidae,Coleoptera
Hemipyxis,Chrysomelidae,Coleoptera
Hespera,Chrysomelidae,Coleoptera
Hesperomorpha,Chrysomelidae,Coleoptera
Hydrothassa,Chrysomelidae,Coleoptera
Linoetis,Chrysomelidae,Coleoptera
Linotetis,Chrysomelidae,Coleoptera
Longitarsus,Chrysomelidae,Coleoptera
Luperaltica,Chrysomelidae,Coleoptera
Lupesus,Chrysomelidae,Coleoptera
Lypesthes,Chrysomelidae,Coleoptera
Manobidia,Chrysomelidae,Coleoptera
Monolepta,Chrysomelidae,Coleoptera
Myocera,Chrysomelidae,Coleoptera
Neocrepidodera,Chrysomelidae,Coleoptera
Nodena,Chrysomelidae,Coleoptera
Nodina,Chrysomelidae,Coleoptera
Nonartha,Chrysomelidae,Coleoptera
Nonarthra,Chrysomelidae,Coleoptera
Oomorphoides,Chrysomelidae,Coleoptera
Orthaltica,Chrysomelidae,Coleoptera
Oulema,Chrysomelidae,Coleoptera
Pachybrachys,Chrysomelidae,Coleoptera
Paridea,Chrysomelidae,Coleoptera
Phyllodecta,Chrysomelidae,Coleoptera
Platynocera,Chrysomelidae,Coleoptera
Pyrrhalta,Chrysomelidae,Coleoptera
Pyrrhata,Chrysomelidae,Coleoptera
Rhabdopterus,Chrysomelidae,Coleoptera
Rhiparida,Chrysomelidae,Coleoptera
Spermophagus,Chrysomelidae,Coleoptera
Stator,Chrysomelidae,Coleoptera
Stenbluperus,Chrysomelidae,Coleoptera
Stenoluperus,Chrysomelidae,Coleoptera
Stermophagus,Chrysomelidae,Coleoptera
Thlaspida,Chrysomelidae,Coleoptera
Tricholochmaea,Chrysomelidae,Coleoptera
Trirhabda,Chrysomelidae,Coleoptera
Xanthonia,Chrysomelidae,Coleoptera
Zypangia,Chrysomelidae,Coleoptera
Nodonota,Chrysomelidae,Coleoptera
Babiohaltica,Chrysomelidae,Coleoptera
Bruchini,Chrysomelidae,Coleoptera
Spintherophyta,Chrysomelidae,Coleoptera
Metallactus,Chrysomelidae,Coleoptera
Chrysopa,Chrysopidae,Neuroptera
Chrysopidae,Chrysopidae,Neuroptera
Chrysopodes,Chrysopidae,Neuroptera
Acopsis,Cicadellidae,Hemiptera
Bothrogonia,Cicadellidae,Hemiptera
Cicadellidae,Cicadellidae,Hemiptera
Cixiidae,Cicadellidae,Hemiptera
Epiacanthus,Cicadellidae,Hemiptera
Eupoasca,Cicadellidae,Hemiptera
Idiocerus,Cicadellidae,Hemiptera
Nirvana,Cicadellidae,Hemiptera
Nogodinidae,Cicadellidae,Hemiptera
Penthimia,Cicadellidae,Hemiptera
Selenocephalus,Cicadellidae,Hemiptera
Tarundia,Cicadellidae,Hemiptera
Thamnotettix,Cicadellidae,Hemiptera
Tituria,Cicadellidae,Hemiptera
Xestocephalus,Cicadellidae,Hemiptera
Matsumurella,Cicadellidae,Homoptera
Orientabia,Cimbicidae,Hymenoptera
Zaraea,Cimbicidae,Hymenoptera
Betacixius,Cixiidae,Hemiptera
Oliarus,Cixiidae,Hemiptera
Callimerus,Cleridae,Coleoptera
Enoplium,Cleridae,Coleoptera
Eurymetopun,Cleridae,Coleoptera
Trichodes,Cleridae,Coleoptera
Xenorthrius,Cleridae,Coleoptera
Craspedochaeta,Clusiidae,Diptera
Coccinela,Coccinelidae,Coleoptera
Adalia,Coccinellidae,Coleoptera
Coccinella,Coccinellidae,Coleoptera
Coccinellidae,Coccinellidae,Coleoptera
Cryptogonus,Coccinellidae,Coleoptera
Cycloneda,Coccinellidae,Coleoptera
Epilachna,Coccinellidae,Coleoptera
Eriopis,Coccinellidae,Coleoptera
Exochomus,Coccinellidae,Coleoptera
Harmonia,Coccinellidae,Coleoptera
Hippodamea,Coccinellidae,Coleoptera
Hyperaspis,Coccinellidae,Coleoptera
Illeis,Coccinellidae,Coleoptera
Lemnia,Coccinellidae,Coleoptera
Propylea,Coccinellidae,Coleoptera
Rodolial,Coccinellidae,Coleoptera
Scymnus,Coccinellidae,Coleoptera
Seymnus,Coccinellidae,Coleoptera
Vibidia,Coccinellidae,Coleoptera
Menochitus,Coccinellidae,Diptera
Ischnura,Coenagrionidae,Odonata
Cadeguala,Colletidae,Hymenoptera
Caupolicana,Colletidae,Hymenoptera
Chilicola,Colletidae,Hymenoptera
Chilimelissa,Colletidae,Hymenoptera
Colletes,Colletidae,Hymenoptera
colletes,Colletidae,Hymenoptera
Colletidae,Colletidae,Hymenoptera
Cottetes,Colletidae,Hymenoptera
Diphaglossa,Colletidae,Hymenoptera
Euryglossa,Colletidae,Hymenoptera
