,db,query,family,order,Genus,,
138,ncbi,472,Lycaenidae,Lepidoptera,Chrysophanus,Synonym Satyrium,
141,ncbi,683,Tachinidae,Diptera,Echinomyia,Synonym Tachina,
152,ncbi,365,Sphingidae,Lepidoptera,Celerio,Synonym Hyles,
163,ncbi,1735,Pompilidae,Hymenoptera,Pompiloides,,
164,ncbi,1835,Nymphalidae,Lepidoptera,Pyrameis,Synonym Vanessa,
165,ncbi,2077,Tenthredinidae,Hymenoptera,Tenthredella,Synonym Tenthredo,
167,ncbi,2117,Megachilidae,Hymenoptera,Titusella,Synonym Ashmeadiella,
168,ncbi,33,Braconidae,Hymenoptera,Agathis,,
177,ncbi,369,NA,NA,Cenis,NA,
178,ncbi,383,NA,NA,Cerastomia,NA,
179,ncbi,438,Syrphidae,Diptera,Chilosia,Synonym Cheilosia,
180,ncbi,468,Syrphidae,Diptera,Chrysogsater,Chrysogaster,
182,ncbi,574,NA,NA,Curtipogon,NA,
183,ncbi,685,Sphecidae,Hymenoptera,Ectemius,,
184,ncbi,706,NA,NA,Eliphilus,NA,
186,ncbi,767,NA,NA,Erizoa,NA,
188,ncbi,869,Gasteruptiidae,Hymenoptera,Foenus,,
191,ncbi,915,Chrysididae,Hymenoptera,Gonochrysis,,
192,ncbi,928,NA,NA,Grapta,NA,Allographta?
193,ncbi,943,NA,NA,Halicyoides,NA,
194,ncbi,986,Syrphidae,Diptera,Heringia,,
195,ncbi,1042,Sphingidae,Lepidoptera,Hyloicus,Synonym Sphinx,
197,ncbi,1176,Mycetophagidae,Coleoptera,Lithargus,,
200,ncbi,1313,Syrphidae,Diptera,Microdon,,
212,ncbi,1769,Sphingidae,Lepidoptera,Protoparce,Synonym Manduca,
213,ncbi,1774,Crabronidae,Hymenoptera,Protothyreopus,Synonym Ectemnius,
214,ncbi,1780,NA,NA,Psammophila,NA,
215,ncbi,1803,NA,Hymenoptera,Pseudomelecta,Subgenus Melecta,
217,ncbi,1904,NA,NA,Scaba,,
218,ncbi,1969,NA,NA,Solenius,,
219,ncbi,1973,NA,NA,Specomyia,,
220,ncbi,1974,NA,NA,Spegina,,
222,ncbi,2006,NA,NA,Sterictophora,,
225,ncbi,2083,NA,NA,Tetrachrysis,,
227,ncbi,2100,NA,NA,Theventimtia,,
230,ncbi,2139,NA,NA,Trichopticus,,
239,ncbi,144,NA,NA,Anthomyidae,,
241,ncbi,1129,NA,NA,Lejogaster,,
247,ncbi,1316,NA,NA,Micromoth,,
255,ncbi,760,NA,NA,Eriothrix,,
256,ncbi,1896,NA,NA,Sarcophagus,,
258,ncbi,126,NA,NA,Anosymia,,
272,ncbi,1537,NA,NA,Panameria,,
273,ncbi,101,NA,NA,Anastoechus,,
275,ncbi,898,NA,NA,Geron,,
277,ncbi,1036,NA,NA,Hyleaus,,
279,ncbi,375,NA,NA,Cephalodromia,,
284,ncbi,1194,NA,NA,Lucilia,,
285,ncbi,1218,NA,NA,Macroglossum,,
288,ncbi,622,NA,NA,Dermasothes,,
289,ncbi,674,NA,NA,Drosophila,,
290,ncbi,1136,NA,NA,Leptochilus,,
299,ncbi,453,NA,NA,Chloropinae,,
303,ncbi,1411,NA,NA,Noctuidae,,
311,ncbi,1156,NA,NA,Limnophilus,,
314,ncbi,1827,NA,NA,Pteromalidae,,
315,ncbi,2171,NA,NA,Urbicola,,
316,ncbi,2214,NA,NA,Xestommaster,,
320,ncbi,1494,NA,NA,Orthocentrinae,,
322,ncbi,1987,NA,NA,Spilagona,,
324,ncbi,3,NA,NA,Acamptocladius,,
327,ncbi,73,NA,NA,Alysiinae,,
329,ncbi,146,NA,NA,Anthomyiidae,,
330,ncbi,243,NA,NA,Bellardia,,
341,ncbi,1062,NA,NA,Ichneumonidae,,
344,ncbi,1666,NA,NA,Phyllolabis,,
348,ncbi,1740,NA,NA,Porizontini,,
353,ncbi,2088,NA,NA,Tetrastichinae,,
378,ncbi,1703,NA,NA,Plebeius,,
386,ncbi,1140,NA,NA,Leptotes,,
387,ncbi,2046,NA,NA,Syrphid,,
389,ncbi,1635,NA,NA,Phalantha,,
398,ncbi,100,NA,Coleoptera,Anaspis,,
401,ncbi,1539,NA,NA,Pandoriana,,
407,ncbi,605,NA,NA,Dasyphora,,
409,ncbi,1367,NA,NA,Myotropa,,
417,ncbi,194,NA,NA,Aspilocoryphus,,
421,ncbi,654,NA,NA,Diptera,,
423,ncbi,16,NA,NA,Actea,,
426,ncbi,1010,NA,NA,Homoecerus,,
432,ncbi,1495,NA,NA,Orthocladiinae,,
433,ncbi,1718,NA,NA,Pogonomyoides,,
434,ncbi,1847,NA,NA,Ramphomyia,,
437,ncbi,275,NA,NA,Boreellus,,
438,ncbi,815,NA,NA,Eupogonomyia,,
440,ncbi,1107,NA,NA,Lasiestra,,
441,ncbi,1593,NA,NA,Pegomyia,,
442,ncbi,1599,NA,NA,Peleteriopsis,,
443,ncbi,1627,NA,NA,Petinarctia,,
446,ncbi,557,NA,NA,Crymodes,,
447,ncbi,696,NA,NA,Einfieldia,,
449,ncbi,933,NA,NA,Gynometriocnemus,,
450,ncbi,1087,NA,NA,Isotoma,,
452,ncbi,1497,NA,NA,Orthocladus,,
453,ncbi,1632,NA,NA,Phaladrodira,,
456,ncbi,1873,NA,NA,Rhyncaenus,,
458,ncbi,2038,NA,NA,Sympistris,,
461,ncbi,1297,NA,NA,Metasyrphus,,
464,ncbi,1713,NA,NA,Podonta,,
465,ncbi,739,NA,NA,Epicometis,,
470,ncbi,2174,NA,NA,Usia,,
474,ncbi,1439,NA,NA,Ocinimorpha,,
477,ncbi,415,NA,NA,Chalicodoma,,
479,ncbi,1296,NA,NA,Metallinella,,
481,ncbi,2084,NA,NA,Tetralonia,,
493,ncbi,596,NA,NA,Danacaea,,
495,ncbi,84,NA,NA,Amictus,,
496,ncbi,88,NA,NA,Ammophila,,
499,ncbi,548,NA,NA,Creightonella,,
500,ncbi,571,NA,NA,Cuneala,,
504,ncbi,2143,NA,NA,Trielis,,
505,ncbi,140,NA,NA,Anthocopa,,
513,ncbi,1628,NA,NA,Petrorossia,,
518,ncbi,1479,NA,NA,Orellia,,
519,ncbi,1585,NA,NA,Parontodynerus,,
530,ncbi,1355,NA,NA,Myathropa,,
534,ncbi,1576,NA,NA,Paravespula,,
535,ncbi,1661,NA,NA,Phthiria,,
537,ncbi,1775,NA,NA,Proxylocopa,,
541,ncbi,1975,NA,NA,Spermatophagus,,
542,ncbi,2073,NA,NA,Tehthredo,,
543,ncbi,2110,NA,NA,Thyridanthrax,,
545,ncbi,19,NA,NA,Actinoptera,,
546,ncbi,76,NA,NA,Amasis,,
550,ncbi,246,NA,NA,Bembicinus,,
559,ncbi,716,NA,NA,Enneastigma,,
560,ncbi,808,NA,NA,Eupavlovskia,,
568,ncbi,1420,NA,NA,Nordmannia,,
569,ncbi,1458,NA,NA,Oligodranes,,
572,ncbi,2008,NA,NA,Stevenia,,
574,ncbi,2124,NA,NA,Toxophora,,
577,ncbi,69,NA,NA,Alophora,,
580,ncbi,286,NA,NA,Brachyodynerus,,
