,Andrena 1,Andrena 2,Andrena 3,Apis mellifera,Bombus bifarius,Bombus flavifrons,Halictus sp,Lasioglossum sp,Osmia 1,Osmia 2,Bombylius major,Bombyliidae sp,Merodon equestris,Volucella bombylans,Syrphidae sp,Erynnis propertius,Celastrina echo,Phyciodes mylitta,Papilio sp,Pieris rapae
Camassia quamash,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cerastium arvense,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Cerastium semidecadnrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Collinsia parviflora,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodecatheon hendersonii,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erythronium oregonum,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fritillaria affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lomatium utriculatum,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0
Ranunculus occidentalis,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Valerianella locusta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicia sativa,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
