,Anthrax,Chrysotoxum,Cynomya,Deopalpus,Dolichopodidae,Epistrophe,Eristalis,Eupeodes,Paragus,Spallanzania,Sphaerophoria,Syrphus,Systoechus,Anthophora,Bombus,Colletes,Formica,Argynnis,Boeberia,Microlepidoptera,Polyommatus
Allium sp,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,7,0,0,0,0,1
Arenaria capillaris,4,0,1,16,1,0,0,0,2,0,3,0,4,0,0,11,4,0,0,0,0
Artemisia commutata,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia frigida,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aster alpinus,0,3,0,16,0,0,1,0,0,0,0,0,1,4,9,2,0,0,0,1,4
Astragalus inopinatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0
Astragalus mongholicus,0,0,0,0,0,0,0,0,0,0,0,0,0,37,93,0,0,0,0,0,4
Bupleurum bicaule,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Chrysanthemum zawadskii,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0
Delphinium triste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
Dianthus versicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Galium verum,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
Gentiana pseudoaquatica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Iris tigridia,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leontopodium leontopodioides,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lychnis sibirica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Oxytropis strobilacea,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,1,0,0,0,1,3
Oxytropis viridiflava,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
Pedicularis achilleifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0
Potentilla acaulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Potentilla bifurca,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,1,0
Potentilla sericea,0,0,82,7,0,0,0,0,1,0,2,0,0,0,0,32,2,0,0,10,0
Scabiosa comosa,0,2,0,0,0,0,3,0,0,1,0,1,0,11,85,0,0,32,1,0,3
Taraxacum sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Thalictrum minus,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thymus gobicus,0,1,0,0,0,0,0,0,0,0,1,0,1,2,6,1,0,0,1,0,3
Veronica incana,0,8,0,2,0,2,1,4,1,0,1,2,0,11,25,8,0,0,0,0,2
Vicia multicaulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
