X,Agrotis.ipsilon,Anothomyia.pluvialis,Apis.mellifera,Bombus.ruderatus,Calliphora.vemitoria,Colias.crocea,Eristalix.tenax,Halictus.sp.,Lasius.niger,Lucilia.sericata,Musca.domestica,Sepsis.thoracica
Azorina vidalii,0,0,1,1,1,1,0,1,1,0,1,1
Beta vulgaris,0,0,0,0,0,0,0,0,0,0,0,1
Chamomilla suaveolens,0,1,0,0,0,0,0,1,0,0,1,0
Crithmum maritimum,0,0,0,0,0,0,1,0,0,1,1,1
Daucus carota,0,0,0,0,0,0,0,1,0,1,1,0
Freesia refracta,0,0,0,1,0,1,0,0,0,0,0,0
Lotus corniculatus,0,0,1,1,0,1,0,0,0,0,0,0
Reseda luteola,0,0,1,0,0,0,0,1,0,0,0,0
Silene vulgaris,0,0,0,0,0,0,0,1,0,0,0,1
Solidago sempervivens,1,0,0,0,0,0,0,1,0,0,0,0
