Network,PFamily,Plant,PolOrder,PolFamily,Pollinator,Int
MED3CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Asteracea,Sonchus tenerrinus,Coleoptera,Coleoptera2,Coleoptera,1
MED3CA,Asteracea,Urospermum picrioides,Hymenoptera,Halictidae,Halictus pyrenaicus,1
FRA2OP,Convolvulacea,Convolvulus althaeoides,Coleoptera,Dasytidae,Dasytidae,1
FRA2OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,4
FRA2OP,Umbelifera,Eryngium campestre,Coleoptera,Mordelidae,Mordellistena pumila,1
MED3CA,Asteracea,Galactites tomentosa,Coleoptera,Oedemeridae,Oedemera lurida,1
MED3CA,Asteracea,Galactites tomentosa,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
FRA2OP,Convolvulacea,Convolvulus althaeoides,Coleoptera,Coleotera1,Coleoptera,1
MED3CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Asteracea,Galactites tomentosa,Hymenoptera,Megachilidae,Osmia,1
MED3CA,Asteracea,Galactites tomentosa,Hymenoptera,Halictidae,Halictus,1
MED3CA,Asteracea,Galactites tomentosa,Hymenoptera,Apoidea,Apis melifera,1
MED3CA,Asteracea,Urospermum picrioides,Hymenoptera,Halictidae,Halictus pyrenaicus,1
MED3CA,Asteracea,Galactites tomentosa,Coleoptera,Oedemeridae,Oedemera lurida,1
MED3CA,Asteracea,Galactites tomentosa,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED3CA,Asteracea,Galactites tomentosa,Coleoptera,Mordelidae,Mordellistena pumila,1
MED3CA,Asteracea,Galactites tomentosa,Hymenoptera,Megachilidae,Osmia,1
MED3CA,Asteracea,Galactites tomentosa,Hymenoptera,Apoidea,Bombus terrestris,1
FRA2OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,1
FRA2OP,Umbelifera,Daucus carota carota,Hymenoptera,Andrenidae,Andrena,1
FRA2OP,Liliacea,Allium ampeloprasum,Hymenoptera,Braconidae,Braconidae,1
MED3CA,Asteracea,Galactites tomentosa,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED3CA,Asteracea,Galactites tomentosa,Hymenoptera,Megachilidae,Osmia,1
MED3CA,Asteracea,Galactites tomentosa,Hymenoptera,Megachilidae,Anthidium,1
MED3CA,Asteracea,Galactites tomentosa,Lepidoptera,Zygaenidae,Zygaena,1
MED4CA,Asteracea,Sonchus tenerrinus,Coleoptera,Chrysomelidae,Criptocephalus,1
MED4CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,4
MED4CA,Asteracea,Galactites tomentosa,Coleoptera,Oedemeridae,Oedemera lurida,1
FRA2OP,Umbelifera,Eryngium campestre,Hymenoptera,Halictidae,Lasioglossum,1
MED4CA,Asteracea,Sonchus tenerrinus,Coleoptera,Chrysomelidae,Criptocephalus,1
MED4CA,Asteracea,Galactites tomentosa,Coleoptera,Mordelidae,Mordellistena pumila,2
MED4CA,Asteracea,Urospermum picrioides,Hymenoptera,Halictidae,Halictus pyrenaicus,1
FRA2OP,Umbelifera,Daucus carota carota,Coleoptera,Mordelidae,Mordellistena pumila,4
MED4CA,Asteracea,Galactites tomentosa,Coleoptera,Oedemeridae,Oedemera nobilis,1
MED4CA,Asteracea,Urospermum picrioides,Coleoptera,Oedemeridae,Oedemera nobilis,2
MED1CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,2
MED1CA,Labiada,Rosmarinus officinalis,Hymenoptera,Apoidea,Apis melifera,1
MED1CA,Cistacea,Cistus albidus,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED1CA,Labiada,Rosmarinus officinalis,Hymenoptera,Anthophoridae,Nomada,1
MED1CA,Labiada,Rosmarinus officinalis,Diptera,Bumbilidae,Bombyliidae,3
MED4CA,Asteracea,Urospermum picrioides,Coleoptera,Mordelidae,Mordellistena pumila,2
MED1CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,1
MED1CA,Labiada,Rosmarinus officinalis,Hymenoptera,Apoidea,Apis melifera,6
MED1CA,Cistacea,Cistus salvifolius,Hymenoptera,Formicidae,Plagiolepsis pigmaea,2
MED1CA,Cistacea,Cistus albidus,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED1CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED1CA,Labiada,Lavandula stoechas,Diptera,Bumbilidae,Bombyliidae,1
MED1CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,2
MED1CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Papilionaea,Vicea lutea,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Cistacea,Cistus salvifolius,Hymenoptera,Megachilidae,Osmia,1
MED1CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Cistacea,Cistus salvifolius,Coleoptera,Coleoptera2,Coleoptera,2
MED1CA,Cistacea,Cistus salvifolius,Coleoptera,Coleotera1,Coleoptera,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,1
MED1CA,Labiada,Rosmarinus officinalis,Hymenoptera,Apoidea,Apis melifera,2
MED1CA,Labiada,Rosmarinus officinalis,Hymenoptera,Halictidae,Lasioglossum,1
MED1CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Labiada,Rosmarinus officinalis,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,1
MED1CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Papilionacea,Dorichnium pentaphylum,Hymenoptera,Colletidae,Colletes,1
MED1CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,1
MED1CA,Cistacea,Cistus monspeliensis,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED1CA,Cistacea,Cistus monspeliensis,Hymenoptera,Anthophoridae,Amegilla femorata?,1
MED1CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Papilionacea,Dorichnium pentaphylum,Coleoptera,Coleoptera2,Coleoptera,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Labiada,Rosmarinus officinalis,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,2
MED1CA,Cistacea,Cistus monspeliensis,Hymenoptera,Formicidae,Plagiolepsis pigmaea,3
MED1CA,Labiada,Lavandula stoechas,Lepidoptera,Adelidae,Adelidae,1
MED1CA,Cistacea,Cistus salvifolius,Coleoptera,Oedemeridae,Oedemera nobilis,1
MED1CA,Cistacea,Cistus albidus,Coleoptera,Oedemeridae,Oedemera lurida,1
MED1CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,8
MED1CA,Cistacea,Cistus albidus,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED1CA,Cistacea,Cistus monspeliensis,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED1CA,Cistacea,Cistus monspeliensis,Diptera,Bumbilidae,Bombyliidae,1
MED1CA,Labiada,Lavandula stoechas,Diptera,Bumbilidae,Bombyliidae,1
MED1CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,3
MED1CA,Cistacea,Cistus monspeliensis,Diptera,Bibionidae,Bibionidae,1
MED1CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Megachilidae,1
MED4CA,Asteracea,Galactites tomentosa,Hymenoptera,Megachilidae,Osmia,1
MED1CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED1CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,3
MED1CA,Cistacea,Cistus salvifolius,Coleoptera,Oedemeridae,Oedemera lurida,1
MED1CA,Cistacea,Cistus monspeliensis,Coleoptera,Scarabaeidae,Oxythyrea funesta,3
MED1CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED1CA,Linaceae,Linum sp.,Hymenoptera,Megachilidae,Osmia,1
MED2CA,Labiada,Rosmarinus officinalis,Lepidoptera,Lycaneidae,Callophrys rubi,1
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Apoidea,Apis melifera,1
MED2CA,Labiada,Rosmarinus officinalis,Hymenoptera,Apoidea,Apis melifera,1
MED2CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Cistacea,Cistus albidus,Hymenoptera,Apoidea,Bombus terrestris,1
MED2CA,Cistacea,Cistus albidus,Diptera,Sirphidae,Syrphidae,1
MED2CA,Cistacea,Cistus salvifolius,Diptera,Sirphidae,Syrphidae,1
MED2CA,Labiada,Rosmarinus officinalis,Diptera,Sirphidae,Syrphidae,3
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Anthophoridae,Amegilla femorata?,1
MED2CA,Labiada,Rosmarinus officinalis,Hymenoptera,Anthophoridae,Amegilla femorata?,2
MED2CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,1
MED4CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED4CA,Asteracea,Galactites tomentosa,Hymenoptera,Apoidea,Bombus terrestris,1
MED2CA,Labiada,Rosmarinus officinalis,Diptera,Sirphidae,Sphaerophoeria,1
MED2CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Anthidium sticticum,2
MED4CA,Asteracea,Sonchus tenerrinus,Coleoptera,Oedemeridae,Oedemera lurida,1
MED2CA,Labiada,Rosmarinus officinalis,Hymenoptera,Megachilidae,Anthidium sticticum,2
MED2CA,Labiada,Rosmarinus officinalis,Hymenoptera,Apoidea,Apis melifera,2
MED2CA,Labiada,Rosmarinus officinalis,Hymenoptera,Colletidae,Colletes,1
MED2CA,Labiada,Lavandula stoechas,Lepidoptera,Adelidae,Adelidae,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Scarabaeidae,Oxythyrea funesta,3
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MED2CA,Cistacea,Cistus albidus,Coleoptera,Ptinidae?_Bruchidae?,Ptinidae Bruchidae,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Dasytidae,Psilothrix,5
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Dasytidae,Psilothrix,3
MED2CA,Asteracea,Aetheorrina bulbosa,Coleoptera,Oedemeridae,Oedemera flavipes,2
MED4CA,Asteracea,Helichrisum stoechas,Coleoptera,Oedemeridae,Oedemera lurida,1
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Cistacea,Cistus monspeliensis,Diptera,Bibionidae,Bibionidae,1
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,2
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Halictidae,Halyctus,1
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,2
MED2CA,Cistacea,Cistus monspeliensis,Hymenoptera,Hailictidae,Sphecodes,2
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Coleotera1,Coleoptera,2
MED2CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,3
MED2CA,Labiada,Rosmarinus officinalis,Hymenoptera,Apoidea,Apis melifera,1
MED2CA,Papilionacea,Dorichnium pentaphylum,Hymenoptera,Colletidae,Colletes,2
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Formicidae,Plagiolepsis pigmaea,1
MED2CA,Cistacea,Cistus salvifolius,Diptera,Bumbilidae,Conophorus virescens,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MED2CA,Labiada,Lavandula stoechas,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED2CA,Labiada,Rosmarinus officinalis,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Dasytidae,Psilothrix,1
MED2CA,Cistacea,Cistus monspeliensis,Coleoptera,Dasytidae,Psilothrix,1
MED4CA,Asteracea,Galactites tomentosa,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Mordelidae,Mordellistena pumila,2
MED2CA,Cistacea,Cistus monspeliensis,Diptera,Bumbilidae,Bombyliidae,1
MED2CA,Cistacea,Cistus salvifolius,Diptera,Bumbilidae,Bombyliidae,1
MED4CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,2
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Halictidae,Halyctus,2
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Halictidae,Halyctus,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Apoidea,Apis melifera,1
MED4CA,Asteracea,Galactites tomentosa,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,1
MED2CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,2
MED2CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Apoidea,Bombus terrestris,2
MED2CA,Cistacea,Cistus albidus,Coleoptera,Oedemeridae,Oedemera lurida,2
MED2CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,1
MED4CA,Asteracea,Galactites tomentosa,Hymenoptera,Apoidea,Bombus terrestris,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MED2CA,Cistacea,Cistus monspeliensis,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED4CA,Asteracea,Galactites tomentosa,Lepidoptera,Satiridae,Pyronia tithonus,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Dasytidae,Psilothrix,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Dasytidae,Psilothrix,1
MED4CA,Asteracea,Helichrisum stoechas,Coleoptera,Mordelidae,Mordellistena pumila,3
MED4CA,Asteracea,Galactites tomentosa,Lepidoptera,Zygaenidae,Zygaena,1
MED2CA,Cistacea,Cistus albidus,Coleoptera,Oedemeridae,Oedemera flavipes,1
MED2CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera flavipes,1
MED2CA,Cistacea,Helianthemum guttatum,Coleoptera,Mordelidae,Mordellistena pumila,1
MED2CA,Cistacea,Cistus monspeliensis,Diptera,Bumbilidae,Bombyliidae,1
MED2CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,2
MED2CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Apoidea,Apis melifera,2
MED2CA,Labiada,Lavandula stoechas,Hymenoptera,Halictidae,Halyctus,1
MED2CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Coleoptera2,Coleoptera,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Coleotera1,Coleoptera,3
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Megachilidae,Megachilidae,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Halictidae,Halictus pyrenaicus,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Apoidea,Bombus terrestris,4
MED2CA,Cistacea,Cistus monspeliensis,Diptera,Milichidae,Milichidae,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Oedemeridae,Oedemera lurida,2
MED2CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,5
MED2CA,Cistacea,Helianthemum guttatum,Coleoptera,Oedemeridae,Oedemera lurida,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Dasytidae,Dasytidae,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Oedemeridae,Oedemera flavipes,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Halictidae,Halictus gemmeus,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Coleoptera,Dasytidae,Dasytidae,1
MED2CA,Cistacea,Cistus monspeliensis,Diptera,Bumbilidae,Bombyliidae,2
MED2CA,Cistacea,Helianthemum guttatum,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Coleotera1,Coleoptera,1
MED2CA,Cistacea,Cistus monspeliensis,Hymenoptera,Colletidae,Hylaeus,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Coleoptera,Cleridae,Trichodes apiarius,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Hymenoptera,Apoidea,Bombus terrestris,1
MED2CA,Cistacea,Cistus monspeliensis,Coleoptera,Maloidea,Myrabilis quadripunctata,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Oedemeridae,Oedemera lurida,2
MED2CA,Cistacea,Cistus monspeliensis,Coleoptera,Oedemeridae,Oedemera lurida,3
MIQ1OP,Asteracea,Urospermum picrioides,Coleoptera,Mordelidae,Mordellistena pumila,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MED2CA,Cistacea,Cistus monspeliensis,Coleoptera,Scarabaeidae,Oxythyrea funesta,2
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Diptera,Sirphidae,Syrphidae,1
MED2CA,Aizoacea,Carpobrotus spp. acinaciformis,Coleoptera,Mordelidae,Mordellistena pumila,2
MED2CA,Cistacea,Cistus salvifolius,Coleoptera,Mordelidae,Mordellistena pumila,1
MIQ1OP,Asteracea,Sonchus tenerrinus,Diptera,Diptera2,Diptera,1
MIQ1OP,Asteracea,Urospermum picrioides,Hymenoptera,Halictidae,Halictus,1
MED2CA,Cistacea,Cistus monspeliensis,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED3CA,Cistacea,Cistus albidus,Coleoptera,Scarabaeidae,Oxythyrea funesta,1
MED3CA,Labiada,Rosmarinus officinalis,Diptera,Bumbilidae,Bombyliidae,1
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Megaquile,1
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Andrenidae,Andrena,1
MIQ1OP,Asteracea,Urospermum picrioides,Hymenoptera,Andrenidae,Andrena,6
MED3CA,Cistacea,Cistus salvifolius,Hymenoptera,Andrenidae,Andrena,1
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Megachile,1
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Megachilidae,Anthidium sticticum,2
MED3CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium sticticum,1
MED3CA,Cistacea,Cistus albidus,Hymenoptera,Apoidea,Apis melifera,2
MED3CA,Cistacea,Cistus monspeliensis,Hymenoptera,Apoidea,Apis melifera,2
MED3CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,5
