"","db","query","family","order","Pollinator"
"1894","ncbi","1415",NA,NA,"Neotrypetes"
"1895","ncbi","131",NA,NA,"Anthemurgus"
"1897","ncbi","1438",NA,NA,"Notozus"
"1898","ncbi","370",NA,NA,"Cemonus"
"1900","ncbi","241",NA,NA,"Batizonus"
"1902","ncbi","261",NA,NA,"Blepharipeza"
"1903","ncbi","1015",NA,NA,"Holonomada"
"1904","ncbi","1137",NA,NA,"Leionotus"
"1908","ncbi","1066",NA,NA,"Hypostena"
"1909","ncbi","1185",NA,NA,"Lispa"
"1913","ncbi","373",NA,NA,"Centrinites"
"1915","ncbi","589",NA,NA,"Cynomyia"
"1916","ncbi","1436",NA,NA,"Notogonidea"
"1921","ncbi","1170",NA,NA,"Limochores"
"1923","ncbi","2226",NA,NA,"Xenoglossa"
"1924","ncbi","1454",NA,NA,"Ocyptera"
"1925","ncbi","388",NA,NA,"Ceratoma"
"1934","ncbi","1838",NA,NA,"Pterandrena"
"1935","ncbi","1982",NA,NA,"Smicra"
"1939","ncbi","960",NA,NA,"Hammomyia"
"1946","ncbi","275",NA,NA,"Borborus"
"1952","ncbi","1708",NA,"Plagiotomida","Plagiotoma"
"1953","ncbi","1919",NA,NA,"Sayapis"
"1954","ncbi","581",NA,NA,"Curtisapis"
"1956","ncbi","1824",NA,NA,"Pseudosiobla"
"1959","ncbi","1159",NA,NA,"Leucosmia"
"1966","ncbi","2222",NA,NA,"Xanthomelana"
"1967","ncbi","1225",NA,NA,"Macrobasis"
"1968","ncbi","130",NA,NA,"Anthedon"
"1970","ncbi","1617",NA,"Coleoptera","Pentaria"
"1972","ncbi","436",NA,NA,"Chelynia"
"1973","ncbi","824",NA,NA,"Eupsyche"
"1975","ncbi","1758",NA,NA,"Priocnemoides"
"1976","ncbi","1845",NA,NA,"Ptilandrena"
"1977","ncbi","350",NA,NA,"Carneades"
"1982","ncbi","1334",NA,NA,"Microstelis"
"1983","ncbi","1669",NA,NA,"Phorantha"
"1984","ncbi","1793",NA,NA,"Psammochares"
"1985","ncbi","2027",NA,NA,"Stictiella"
"1987","ncbi","75",NA,NA,"Alyson"
"1989","ncbi","678",NA,NA,"Drepanium"
"1991","ncbi","984",NA,NA,"Heminomada"
"1992","ncbi","1536",NA,NA,"Pachymeria"
"1993","ncbi","2117",NA,NA,"Therioplectes"
"1994","ncbi","2251",NA,NA,"Zendalia"
"1997","ncbi","229",NA,NA,"Babia"
"1998","ncbi","282",NA,NA,"Brachycoma"
"2001","ncbi","1657",NA,NA,"Philampelus"
"2003","ncbi","2232",NA,NA,"Xestocrabro"
"2005","ncbi","55",NA,NA,"Aldrichia"
"2006","ncbi","88",NA,NA,"Ammobia"
"2007","ncbi","571",NA,NA,"Cryptorhopalum"
"2009","ncbi","750",NA,NA,"Epimelissodes"
"2010","ncbi","992",NA,NA,"Heodes"
"2011","ncbi","1032",NA,NA,"Hyalomyodes"
"2013","ncbi","1759",NA,NA,"Priononyx"
"2014","ncbi","1896",NA,NA,"Robertsonomyia"
"2015","ncbi","2227",NA,NA,"Xenoglossodes"
"2017","ncbi","555",NA,NA,"Cremastogaster"
"2018","ncbi","595",NA,NA,"Cyphopyga"
"2020","ncbi","724",NA,NA,"Enoplium"
"2021","ncbi","761",NA,NA,"Epurea"
"2022","ncbi","1933",NA,NA,"Scepsis"
"2024","ncbi","330",NA,NA,"Calythea"
"2025","ncbi","396",NA,NA,"Ceria"
"2026","ncbi","526",NA,NA,"Cordylura"
"2029","ncbi","1709",NA,NA,"Planiceps"
"2030","ncbi","2092",NA,NA,"Telephorus"
"2032","ncbi","369",NA,NA,"Cemolobus"
"2033","ncbi","435",NA,NA,"Chelostomoides"
"2034","ncbi","491",NA,NA,"Clusia"
"2037","ncbi","1024",NA,NA,"Hoplisus"
"2038","ncbi","1267",NA,NA,"Megilla"
"2039","ncbi","1541",NA,NA,"Padabrus"
"2041","ncbi","1801",NA,NA,"Pseudagenia"
"2044","ncbi","405",NA,NA,"Chaerocampa"
"2049","ncbi","1197",NA,NA,"Lophopompilus"
"2052","ncbi","1569",NA,NA,"Paralictus"
"2053","ncbi","1784",NA,NA,"Protoparee"
"2054","ncbi","374",NA,NA,"Centrinus"
"2056","ncbi","592",NA,NA,"Cyphocera"
"2057","ncbi","1376",NA,NA,"Myodites"
"2060","ncbi","2169",NA,NA,"Trirhoptrasema"
"2061","ncbi","125",NA,NA,"Anosia"
"2062","ncbi","257",NA,NA,"Biomyia"
