,Acamptopoeum_argentinum,Acalyptrate_sp2,Acalyptrate_sp4,Acromyrmex_lobicornis,Agromizidae_sp1,Alloscirtetica_brethesi,Alloscirtetica_segmentaria,Alloscirtetica_sp.,Ammophila_sp.,Ananthidium__inerme,Anthidium_andinum,Anthidium_decaspilum,Anthidium_friesei,Anthrax_oedipus_,Anthidium_rubripes,Anthidium_vigintipunctatum,Anthomyiidae_sp1,Apis_mellifera,Arhysosage_bifasciata,Aristosyrphus,Ascia_monuste,Asilidae_sp1,Asilidae_sp2,Audre_sp.,Augochloropsis_sp,Babia_elongata,Bibionidae_sp1,Bicyrtes_sp.,Bombus_opifex,Exoprosopa_sp2_,Exoprosopa_sp1_,Bombyliidae_sp_12,Bombyliidae_sp14,Bombyliidae_sp15,Bombyliidae_sp16,Chrysanthrax_sp2_,Bryodemina_sp,Parasystoechus_sp,Poecilognathus_sp.n._,Bombyliidae_sp9,Caenohalictus_sp.,Calliopsini_sp1,Camponotus_mus,Camponotus_punctulatus,Centris_brethesi,Centris_lyagbyei,Centris_muralis,Centris_vardyorum,Chaetocrania_sp1,Chilicola_sp.,Chilicola_triconnata,Cochliomyia_macellaria,Coccinellidae_sp1,Coccinella_sp2,Coelioxys_chilensis,Coelioxys_inconspicua,Coelioxys_jorgenseni,Coelioxys_sp5,Coelioxys_sp6,Coelioxys_sp,Colletes_araucariae,Colletes_bicolor,Colletes_brethesi,Colletes_cognatus,Colletes_lycii,Colletes_sp1,Colletes_sp2,Coleoptera_sp2,Chrysomelidae_sp4,Chrysomelidae_sp5,Chrysomelidae_sp6,Compsomyiops_fulvicrura,Copestylum_aricia,Copestylum_sp2,Copestylum_sp3,Cosmosatyrus_chilensis,Crabronidae_sp1,Diadasia_baraderensis,Diadasia_patagonica,Diabrotica_sp1,Dialictus_sp.1,Dialictus_sp.2,Dorymyrmex_sp,Empididae_sp1,Empididae_sp2,Epitragus_sp.,Eumenidae_sp1,Chrysanthrax_sp1_,Forelius_sp.,Hemiptera_sp1,Hemiptera_sp3,Hemiptera_sp4,Hemiptera_sp5,Hemiptera_sp6,Hemiptera_sp7,Hirmoneura_sp.,Hymenoptera_sp3,Hymenoptera_sp4,Hymenoptera_sp6,Hymenoptera_sp7,Hymenoptera_sp8,Ichneumonidae_sp9,Hypalastoroides_sp1,Isepeolus_vachali,Isepeolus_viperinus,Leioproctus_abdominalis,Leioproctus_cristariae,Leioproctus_friesei,Leptometriella_nigra,Lepidoptera_sp11,Lepidoptera_sp12,Lepidoptera_sp3,Lepidoptera_sp4,Lepidoptera_sp7,Liphantus_inornatus,Liphantus_nigritus,Lonchopria_chalybaea,Lonchopria_robertsi,Lonchopria_sp.,Megachile_sp.A,Megachile_argentina,Megachile_sp.,Megachile_ctenophora,Megachile_gomphrenae,Megachile_hoffmannseggiae,Megachile_joergenseni,Megachile_spL,Megachile_luteipes,Megachile_sp.,Megachile_sp.,Megachile_sp.,Melectoides_cockerelli,Melissoptila_sp.,Melectoides_sp.,Mesonychium_jenseni,Muscidae_sp1,Muscidae_sp2,Mutilidae_sp1,Neuroptera_sp1,Nezara_sp.,Nitidulidae_sp1,Orthoptera_sp1,Orthoptera_sp2,Orthoptera_sp3,Pachodynerus_argentinus,Pyrgus_communis,Platycheirus_sp1,Polistes_cavapyta,Pompillidae_sp1,Pompillidae_sp2,Pompillidae_sp3,Psaenythia_philantoides,Psaenythia_rufipes,Pseudagapostemon_sp.,Rubrica_nasuta,Sarcophagidae_sp1,Sciomyzidae_sp1,Sphex_sp2,Sphecidae_sp3,Sphecidae_sp5,Sphecidae_sp1,Strymon_eurytulus,Svastrides_bauni,Svastra_bombylans,Svastrides_zebra,Syrphus_sp.,Syrphus_sp.,Syrphidae_sp3,Syrphidae_sp5,Syrphidae_sp6,Tachipompillus_sp.,Tachinidae_sp10,Tachinidae_sp15,Tachinidae_sp17,Tachinidae_sp19,Tachinidae_sp20,Tachinidae_sp21,Tachinidae_sp5,Tachinidae_sp6,Tachinidae_sp8,Tachytes_sp.,Tatochila_autodice,Tephritidae_sp1,Tephritidae_sp2,Thygather_aethiops,Thynnidae_sp1,Toxomerus_sp.,Trichothurgus_laticeps,Trichothurgus_sp2,Trichostictia_sp.,Villa_sp.,Willinkapis_chalybaea,Xylocopa_augusti,Xylocopa_ordinaria,Xylocopa_splendidula,Zeta_sp.
Cerastium_arvense,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cereus_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Clematis_montevidensis,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,14,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,5,4,0,2,0,0,3,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Condalia_microphylla,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,4,757,0,16,0,12,4,0,55,0,0,0,0,115,172,0,1,0,7,84,0,4,0,18,0,0,264,178,0,0,0,0,5,1,1,5,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,332,950,118,0,1,1,0,0,33,57,0,0,1,3,0,0,345,0,0,0,0,6,0,0,776,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,0,0,0,0,0,0,1,0,5,0,2,0,1,0,0,0,0,0,7,45,1,1,0,4,2,1,0,1,1,0,0,0,0,2,0,0,0,181,1,1,2,0,0,84,1,1,0,9,0,0,0,1,0,0,3,0,0,69,0,0,0,0,83,0,0,0,0,42
Cryptantha_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Descurainia_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipyrena_glaberrima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elaeagnus_angustifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erodium_cicatarium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erodium_sp.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fumaria_capreolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glandularia_crithmifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helenium_donianum,0,0,0,0,0,0,0,0,31,0,0,0,0,0,2,0,0,15,0,0,0,0,0,4,55,0,0,0,3,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,9,0,13,0,0,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1,2,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8
