,Alliopsis silvestris,Andrena ruficrus,Anthidium punctatum,Anthocharis cardamines,Anthophora furcata,Apis mellifera,Argynnis paphia,Autographa gamma,Bellardia pandia,Bellardia vulgaris,Beris clavipes,Blera fallax,Bombus bohemicus,Bombus cryptarum,Bombus hortorum,Bombus jonellus,Bombus lucorum-Komplex,Bombus lucorum-Komplex cf. cryptarum,Bombus lucorum-Komplex cf. lucorum,Bombus mucidus,Bombus pascuorum,Bombus pratorum,Bombus soroeensis,Bombus sylvestris,Bombus wurflenii,Botanophila aff. varicolor,Botanophila fugax,Botanophila varicolor,Calliphora loewi,Calliphora subalpina,Calliphora vicina,Calliphora vomitoria,Callophrys rubi,Carterocephalus palaemon,Cheilosia albitarsis,Cheilosia antiqua,Cheilosia canicularis,Cheilosia laticornis,Cheilosia lenis,Cheilosia longula,Cheilosia melanura,Cheilosia mutabilis,Cheilosia nigripes,Cheilosia pagana,Cheilosia urbana,Cheilosia vicina,Chelostoma florisomne,Chersotis cuprea,Chiastocheta rotundiventris,Chrysotoxum arcuatum,Coenosia mollicula,Dasysyrphus friuliensis,Dasysyrphus lenensis,Dasysyrphus pinastri,Dasysyrphus tricinctus,Didea alneti,Didea intermedia,Dolichopus trivialis,Drymeia alpicola,Empis melanotricha,Empis simulium,Episyrphus balteatus,Erebia euryale,Erebia manto,Erebia meolans,Eristalis arbustorum,Eristalis intricaria,Eristalis lineata,Eristalis pertinax,Eristalis rupium,Eristalis tenax,Erynnis tages,Euclidia glyphica,Eupeodes corollae,Eupeodes nielseni,Eupeodes nitens,Fannia mollissima,Fannia postica,Helophilus pendulus,Helophilus trivittatus,Heringia pubescens,Hydrophoria diabata,Hydrophoria lancifer,Hydrotaea irritans,Hylaea fasciaria,Hylaeus confusus,Hylemya nigrimana,Inachis io,Lasioglossum albipes,Lasioglossum fratellum,Leptidea sinapis,Leucozona lucorum,Lucilia caesar,Lucilia richardsi,Lucilia richardsih,Macquartia tenebricosa,Megachile willughbiella,Melangyna compositarum,Melanostoma mellinum,Melanostoma scalare,Melinda gentilis,Melinda viridicyaena,Meliscaeva cinctella,Morellia podagrica,Musca autumnalis,Myathropa florea,Neomyia viridescens,Onychogonia flaviceps,Osmia leaiana,Panurginus montanus,Parasyrphus annulatus,Parasyrphus lineola,Parasyrphus macularis,Parasyrphus vittiger,Pegoplata aestiva,Perizoma blandiata,Phaonia angelicae,Phaonia lugubris,Phaonia meigeni,Phaonia serva,Phorbia curvicauda,Pieris bryoniae,Pieris napi,Pieris rapae,Pipiza bimaculata,Pipiza quadrimaculata,Platycheirus albimanus,Platycheirus clypeatus,Platycheirus manicatus,Platycheirus scutatus,Platycheirus tarsalis,Pollenia amentaria,Pollenia labialis,Pollenia rudis,Pyrausta aurata,Rhamphomyia spec. nov. 2,Rhamphomyia umbripes,Rhingia campestris,Sarcophaga emdeni,Sarcophaga incisilobata,Sarcophaga rosellei,Sarcophaga variegatag,Sarcophaga variegatar,Sarcophaga vicina,Scaeva pyrastri,Sepsis orthocnemis,Sphaerophoria batava,Sphaerophoria interrupta,Sphaerophoria scripta,Sphaerophoria taeniata,Syrphus ribesii,Syrphus torvus,Syrphus vitripennis,Tachina fera,Tachina magnicornis,Thecophora atra,Thricops cunctans,Thricops genarum,Thricops innocuus,Thricops longipes,Thricops nigrifrons,Thricops nigritellus,Thricops semicinereus,Triphleba citreiformis,Trypetoptera punctulata,Vanessa cardui,Volucella bombylans,Xylota florum,Xylota jakutorum
Ranunculus acris,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,2,0,1,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,5,0,0,45,0,2,0,1,0,0,0,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,12,8,0,0,1,0,0,0,0,0,0,0,43,1,0,9,19,0,7,1,5,22,1,2,2,0,1,6,7,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,17,9,0,9,2,0,0,0,0,6,1,1,8,0,22,41,0,1,0,0,4,9
Rhinanthus glacialis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Scabiosa lucida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soldanella alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thymus praecox,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,7,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,3,2,1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trifolium pratense,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trifolium repens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trollius europaeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tussilago farfara,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica chamaedrys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
Veronica officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viola biflora,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
