ID,Species,Interactions,Connectance,Type of interactions,Type of data,Reference,Locality of Studi,Latitude,Longitude
Bartomeus_etal_2008 BAT1CA,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeus_etal_2008 FRA1OP,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeus_etal_2008 MED1CA,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeus_etal_2008 MED3CA,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeus_etal_2008 MIQ1OP,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeus_etal_2008 SEL1OP,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
benadi_2014_1,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.64917,13.105
benadi_2014_2,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.598,12.89722
benadi_2014_3,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.58194,12.93417
benadi_2014_4,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.69056,13.03056
benadi_2014_5,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.67528,13.14139
benadi_2014_6,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.69694,12.94778
Caradonna 2014_2015,NA,NA,NA,Pollination,freq,Caradonna_etal_2017,"Gothic, CO, USA",38.95139,-106.9842
Fang Huang 2008,NA,NA,NA,Pollination,1,Fang_Huang_2016,China,27.90139,99.63806
Fang Huang 2009,NA,NA,NA,Pollination,1,Fang_Huang_2016,China,27.90139,99.63806
Fang Huang 2010,NA,NA,NA,Pollination,1,Fang_Huang_2016,China,27.90139,99.63806
ilha das flores valerie,NA,NA,NA,Pollination,1,Valeria_Trivellone,Ilha das Flores,39.26,-31.13
LaraRomero etal 2016,NA,NA,NA,Pollination,1,LaraRomero_etal_2016,Spain,40.8333,-3.95
mauritius valerie,NA,NA,NA,Pollination,1,Valeria_Trivellone,Mauritius,-20.25,57.43
Parachnowitsch Elle,NA,NA,NA,Pollination,1,Parachnowitsch_Elle_2005,Canada,48.8083333,-123.6311111
Probert_Anawhata,NA,NA,NA,Pollination,freq,AnnaProbert_PhD,New Zealand,-36.9264,174.4589
Probert_Karekare,NA,NA,NA,Pollination,freq,AnnaProbert_PhD,New Zealand,-36.9866,174.4823
Probert_Whatipu,NA,NA,NA,Pollination,freq,AnnaProbert_PhD,New Zealand,-37.0402,174.5068
Robinson etal 2018,NA,NA,NA,Pollination,1,Robinson_etal_2018,Canadian Arctic,78.883679,-75.800171
Santos etal 2010,NA,NA,NA,Pollination,1,Santos-etal_2010,Brazil,-12.7,-39.766667
Shay etal 2016,NA,NA,NA,Pollination,1,Shay_etal_2016,Hawaii,21.574281,-158.278615
Song 2015,NA,NA,NA,Pollination,1,Song_2015,Mongolia,50.436774,100.385368
Traveset 2013,NA,NA,NA,Pollination,1,Traveset_2013,Galapagos,-0.6907,-91.012863
Trojelsgaard Fuerteventura 1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Fuerteventura,28.5643,13.8919
Trojelsgaard Fuerteventura 2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Fuerteventura,28.5643,13.8919
Trojelsgaard Gomera 1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Gomera,28.0398,17.2267
Trojelsgaard Gomera 2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Gomera,28.0398,17.2267
Trojelsgaard GranCanaria 1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Gran Canaria,27.9041,15.4331
Trojelsgaard GranCanaria 2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Gran Canaria,27.9041,15.4331
Trojelsgaard Hierro 1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Hierro,27.8047,17.8959
Trojelsgaard Hierro 2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Hierro,27.8047,17.8959
Trojelsgaard TenerifeSouth 1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Tenerife_South,28.2222,16.4173
Trojelsgaard TenerifeSouth 2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Tenerife_South,28.2222,16.4173
Trojelsgaard TenerifeTENO 1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Tenerife_TENO,28.3531,16.9123
Trojelsgaard TenerifeTENO 2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Tenerife_TENO,28.3531,16.9123
Trojelsgaard WesternSahara 1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Western Sahara,26.161,14.4222
Trojelsgaard WesternSahara 2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Western Sahara,26.161,14.4222
VanNoort_AitP,NA,NA,NA,Pollination,freq,TheovanNoort_MSc,New Zealand,-36.886333,174.51861
VanNoort_Matuku,NA,NA,NA,Pollination,freq,TheovanNoort_MSc,New Zealand,-36.858694,174.47333
VS Llao Llao,NA,NA,NA,Pollination,1,Vazquez_Simberloff_2003,Argentina,-41.011859,-71.498965
VS Mascardi_nc,NA,NA,NA,Pollination,1,Vazquez_Simberloff_2003,Argentina,-41.011859,-71.498965
VS Quetrihue_nc,NA,NA,NA,Pollination,1,Vazquez_Simberloff_2003,Argentina,-41.011859,-71.498965
VS Safariland,NA,NA,NA,Pollination,1,Vazquez_Simberloff_2003,Argentina,-41.011859,-71.498965
